field,defined_by
50 % autumnal leaf fall,{senescent leaves present}
Autumnal coloring of leaves (50%),{senescent leaves present}
Beginning of flowering,{flowers present}
Beginning of sprouting,{new above-ground shoot-borne shoot systems present}
Coloring of leaves (100%),{senescent leaves present}
End of autumnal leaf fall (95% fallen),{abscised leaves present}
End of flowering,{flowers absent}
First flower buds visible,{breaking buds present}
First leaves seperated (mouse ear),{leaves present}
First ripe fruits,{ripening fruits present}
Flowering 10% (male),{flowers present}
Fruits fully ripe,{ripening fruits present}
Full flowering,{flowers present}
Harvest,{leaves present}
"Leaf unfolding (5.true leaves, leaf pairs or whoris unfolded)",{leaves present}
Leaf unfolding (50%),{leaves present}
Leaf unfolding (first visible leaf stalk),{leaves present}
Leaves beginning to discolour,{senescent leaves present}
Soft dough,{plant structures present}
Sowing,{plant structures absent}
